Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall
1602006822.945185,16.000000,0.000000,4087.692383,4124.615234,4118.461426,4124.102539,4125.641113,4122.051270,4128.205078,4122.051270,4117.948730,4112.820313,4092.820557,4105.128418,4080.512939,4071.281982,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006822.953166,17.000000,0.000000,4112.820313,4136.922852,4130.256348,4135.897461,4129.230957,4138.461426,4139.487305,4131.282227,4128.717773,4122.563965,4123.589844,4123.077148,4100.000000,4101.025879,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006822.961047,18.000000,0.000000,4122.563965,4140.512695,4134.871582,4134.871582,4122.051270,4140.512695,4139.487305,4132.307617,4127.692383,4125.641113,4124.102539,4124.615234,4115.897461,4116.410156,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006822.968928,19.000000,0.000000,4117.948730,4126.153809,4129.743652,4123.589844,4116.922852,4132.820313,4132.307617,4127.692383,4126.666504,4125.128418,4119.487305,4121.025879,4117.948730,4109.230957,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006822.976810,20.000000,0.000000,4114.358887,4122.051270,4126.666504,4119.487305,4122.051270,4127.179688,4126.666504,4125.128418,4125.641113,4115.384766,4124.615234,4124.102539,4107.692383,4106.666504,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006822.984691,21.000000,0.000000,4113.333496,4121.025879,4126.666504,4122.051270,4121.538574,4124.102539,4118.461426,4122.563965,4116.410156,4097.436035,4118.974121,4121.538574,4098.461426,4107.692383,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006822.992572,22.000000,0.000000,4105.641113,4109.230957,4121.025879,4118.461426,4107.692383,4119.487305,4108.717773,4118.461426,4108.205078,4090.256348,4105.641113,4111.794922,4093.333252,4094.358887,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006823.000453,23.000000,0.000000,4101.025879,4112.307617,4118.974121,4118.461426,4106.666504,4124.102539,4111.282227,4118.974121,4112.307617,4105.128418,4102.051270,4108.717773,4090.256348,4088.205078,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006823.008334,24.000000,0.000000,4105.641113,4125.641113,4125.641113,4126.666504,4122.051270,4137.436035,4120.000000,4122.563965,4122.563965,4113.333496,4105.128418,4111.794922,4092.820557,4104.615234,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006823.016215,25.000000,0.000000,4105.641113,4125.641113,4126.153809,4130.256348,4125.641113,4141.538574,4123.077148,4122.051270,4127.179688,4102.051270,4113.333496,4113.846191,4100.000000,4108.717773,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
