Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall
1602006404.904067,117.000000,0.000000,4281.025879,4156.922852,4151.282227,4145.128418,4109.230957,4112.307617,4132.307617,4128.717773,4124.102539,4131.794922,4165.641113,4164.102539,4165.641113,4258.461426,738.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006404.911849,118.000000,0.000000,4262.051270,4156.922852,4153.846191,4140.000000,4110.769043,4127.179688,4130.769043,4137.436035,4129.743652,4155.897461,4146.666504,4173.333496,4161.538574,4248.717773,869.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006404.919730,119.000000,0.000000,4245.128418,4150.256348,4142.563965,4142.051270,4115.384766,4124.102539,4122.563965,4134.358887,4120.000000,4155.897461,4151.794922,4160.000000,4153.846191,4249.230957,838.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006404.927612,120.000000,0.000000,4226.153809,4141.538574,4133.846191,4142.563965,4120.512695,4107.692383,4121.538574,4123.589844,4114.871582,4136.922852,4161.538574,4152.820313,4157.436035,4230.769043,771.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006404.935493,121.000000,0.000000,4209.743652,4141.025879,4140.000000,4136.922852,4118.974121,4108.205078,4130.769043,4122.051270,4123.077148,4142.051270,4149.230957,4162.051270,4161.538574,4201.025879,738.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006404.943374,122.000000,0.000000,4201.538574,4145.128418,4143.589844,4137.948730,4120.000000,4128.717773,4140.000000,4128.205078,4128.205078,4156.922852,4140.000000,4158.974121,4153.846191,4187.692383,869.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006404.951256,123.000000,0.000000,4195.384766,4144.102539,4141.538574,4142.563965,4123.077148,4136.922852,4140.512695,4127.179688,4119.487305,4147.179688,4131.794922,4148.717773,4141.538574,4180.000000,838.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006404.959137,124.000000,0.000000,4176.922852,4136.410156,4144.615234,4135.897461,4118.974121,4124.615234,4131.794922,4121.538574,4115.384766,4131.794922,4117.436035,4147.179688,4133.333496,4166.666504,771.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006404.967019,125.000000,0.000000,4169.743652,4134.871582,4150.769043,4131.282227,4115.384766,4118.974121,4128.205078,4122.563965,4124.102539,4135.384766,4121.025879,4151.794922,4135.384766,4164.615234,738.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006404.975000,126.000000,0.000000,4180.000000,4137.436035,4149.230957,4136.410156,4120.000000,4123.077148,4133.846191,4124.102539,4128.717773,4144.615234,4136.410156,4153.846191,4140.000000,4173.846191,869.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006404.982882,127.000000,0.000000,4169.230957,4131.282227,4135.897461,4135.384766,4122.563965,4126.666504,4136.922852,4126.666504,4130.256348,4136.410156,4140.000000,4146.666504,4137.436035,4167.179688,838.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006404.990763,128.000000,0.000000,4147.692383,4127.692383,4123.077148,4131.794922,4123.589844,4135.384766,4135.384766,4135.384766,4137.948730,4133.846191,4136.922852,4137.436035,4138.974121,4152.820313,771.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006404.998645,0.000000,0.000000,4148.717773,4136.922852,4121.538574,4133.846191,4123.589844,4141.538574,4135.897461,4138.461426,4138.461426,4146.153809,4135.897461,4139.487305,4143.077148,4149.230957,793.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006405.006527,1.000000,0.000000,4148.717773,4136.922852,4121.538574,4132.820313,4122.051270,4125.128418,4137.436035,4126.666504,4121.538574,4132.307617,4136.922852,4136.922852,4132.820313,4137.436035,794.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006405.014408,2.000000,0.000000,4135.384766,4129.230957,4120.512695,4133.333496,4123.077148,4113.333496,4135.384766,4120.000000,4107.692383,4120.000000,4133.846191,4121.538574,4125.641113,4130.769043,849.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006405.022290,3.000000,0.000000,4136.410156,4135.384766,4123.589844,4141.025879,4126.666504,4130.769043,4140.512695,4127.692383,4115.897461,4146.666504,4127.179688,4123.589844,4137.948730,4146.666504,867.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006405.030172,4.000000,0.000000,4143.589844,4140.000000,4125.128418,4140.512695,4124.615234,4140.000000,4143.077148,4129.743652,4125.128418,4155.384766,4127.179688,4140.000000,4143.589844,4150.256348,809.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006405.038053,5.000000,0.000000,4135.897461,4136.922852,4125.641113,4135.384766,4121.538574,4129.743652,4131.282227,4127.179688,4119.487305,4124.615234,4136.410156,4143.077148,4135.384766,4135.897461,827.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006405.045835,6.000000,0.000000,4134.871582,4138.974121,4135.897461,4140.000000,4125.128418,4132.820313,4125.641113,4131.282227,4118.974121,4129.230957,4146.153809,4145.641113,4136.922852,4136.410156,761.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006405.053716,7.000000,0.000000,4143.589844,4143.589844,4146.153809,4142.563965,4129.230957,4145.128418,4133.333496,4140.512695,4135.897461,4169.230957,4141.538574,4156.922852,4143.077148,4146.666504,665.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006405.061598,8.000000,0.000000,4135.384766,4140.000000,4143.589844,4140.512695,4126.153809,4134.358887,4132.820313,4140.512695,4143.077148,4169.743652,4130.769043,4159.487305,4141.538574,4142.563965,785.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006405.069479,9.000000,0.000000,4121.538574,4130.769043,4135.897461,4138.974121,4122.051270,4113.333496,4123.077148,4128.717773,4130.256348,4147.692383,4133.333496,4148.205078,4135.384766,4125.641113,836.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006405.077360,10.000000,0.000000,4117.948730,4126.666504,4130.769043,4132.820313,4122.563965,4109.743652,4119.487305,4121.025879,4121.025879,4136.922852,4129.743652,4137.948730,4125.128418,4107.179688,870.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006405.085242,11.000000,0.000000,4110.256348,4127.179688,4128.205078,4121.538574,4124.102539,4117.436035,4120.000000,4121.538574,4115.384766,4124.615234,4109.743652,4131.282227,4117.948730,4103.077148,838.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006405.093223,12.000000,0.000000,4101.025879,4127.179688,4125.641113,4124.615234,4123.589844,4125.128418,4125.128418,4124.615234,4108.205078,4116.410156,4109.230957,4132.820313,4116.922852,4113.333496,771.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006405.101105,13.000000,0.000000,4106.666504,4126.666504,4122.051270,4137.436035,4124.102539,4129.743652,4136.410156,4127.179688,4112.820313,4120.000000,4124.102539,4134.871582,4116.410156,4113.846191,738.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006405.108987,14.000000,0.000000,4112.307617,4127.692383,4124.102539,4131.282227,4125.641113,4135.897461,4139.487305,4128.205078,4128.205078,4130.769043,4114.358887,4129.743652,4116.922852,4104.102539,870.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006405.116868,15.000000,0.000000,4107.179688,4126.153809,4121.025879,4115.897461,4127.179688,4141.538574,4133.333496,4125.641113,4128.717773,4135.384766,4104.102539,4123.589844,4117.948730,4097.948730,838.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006405.124750,16.000000,0.000000,4101.025879,4118.974121,4105.641113,4114.358887,4126.153809,4130.256348,4126.153809,4122.051270,4112.820313,4130.256348,4107.692383,4125.128418,4109.743652,4089.743652,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1602006405.132632,17.000000,0.000000,4100.000000,4119.487305,4103.589844,4122.563965,4122.563965,4106.153809,4125.128418,4124.615234,4110.769043,4129.230957,4105.128418,4134.871582,4105.641113,4083.076904,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
